236,The Piano,1993,0,121,0,"Drama, Music, Romance",Jane Campion
237,Die Blechtrommel,1979,0,21,0,"Documentary, Short",J\xc3\xb6rg Bauer
238,Xi meng ren sheng,1993,0,142,0,"Biography, Drama, War",Hsiao-Hsien Hou
239,Podwojne zycie Weroniki,1991,0,98,0,"Drama, Fantasy, Music",Krzysztof Kieslowski
240,Otac na sluzbenom putu,1985,0,136,0,Drama,Emir Kusturica
241,Lamerica,1994,0,116,0,Drama,Gianni Amelio
242,Jean de Florette,1986,0,120,0,Drama,Claude Berri
243,Das Leben der Anderen,2006,0,137,0,"Drama, Thriller",Florian Henckel von Donnersmarck
244,Das Boot,1981,0,149,0,"Adventure, Drama, Thriller",Wolfgang Petersen
245,Offret,1986,0,149,0,Drama,Andrei Tarkovsky
246,Amores perros ,2000,0,154,0,"Drama, Thriller",Alejandro G. I\xc3\xb1\xc3\xa1rritu
247,The Triplets of Belleville,2003,0,78,0,"Animation, Comedy, Drama",Sylvain Chomet
248,Akira,1988,0,124,0,"Animation, Action, Sci-Fi",Katsuhiro \xc3\x94tomo
249,Waltz with Bashir,2008,0,90,0,"Animation, Biography, Drama",Ari Folman
250,Moartea domnului Lazarescu,2005,0,153,0,Drama,Cristi Puiu
251,Celine et Julie vont en bateau: Phantom Ladies Over Paris,1974,0,193,0,"Comedy, Drama, Fantasy",Jacques Rivette
252,Le genou de Claire,1970,0,105,0,"Comedy, Drama, Romance",\xc3\x89ric Rohmer
253,Oldboy,2003,0,120,0,"Drama, Mystery, Thriller",Chan-wook Park
254,Hana-bi,1997,0,103,0,"Crime, Drama, Romance",Takeshi Kitano
255,Stroszek,1977,0,115,0,"Comedy, Drama",Werner Herzog
256,Vozvrashchenie,2003,0,105,0,"Drama, Mystery, Thriller",Egor Konchalovskiy
257,Spoorloos,1988,0,107,0,"Crime, Mystery, Thriller",George Sluizer
259,Volver,2006,0,121,0,"Comedy, Crime, Drama",Pedro Almod\xc3\xb3var
260,Colorful,2010,0,133,0,Drama,Tyler Perry
261,Blood Diamond,2006,0,143,0,"Adventure, Drama, Thriller",Edward Zwick
262,Total Eclipse,1995,0,111,0,"Biography, Drama, Romance",Agnieszka Holland
263,The Quick and the Dead,1995,0,107,0,"Action, Thriller, Western",Sam Raimi
264,This Boy's Life,1993,0,115,0,"Biography, Drama",Michael Caton-Jones
265,Scarface,1983,0,170,0,"Crime, Drama",Brian De Palma
266,Once Upon a Time in America,1984,0,229,0,"Crime, Drama",Sergio Leone
267,Platoon,1986,0,120,0,"Drama, War",Oliver Stone
268,Heat,1995,0,170,0,"Action, Crime, Drama",Michael Mann
269,Rain Man,1988,0,133,0,Drama,Barry Levinson
270,Cidade de Deus,2002,0,130,0,"Crime, Drama","Fernando Meirelles, K\xc3\xa1tia Lund"
271,Full Metal Jacket,1987,0,116,0,"Drama, War",Stanley Kubrick
272,Into the Wild,2007,0,148,0,"Adventure, Biography, Drama",Sean Penn
273,Sleepers,1996,0,147,0,"Crime, Drama, Thriller",Barry Levinson
274,The Chorus,2004,0,97,0,"Drama, Music",Christophe Barratier
275,Shichinin no samurai,1954,0,207,0,Drama,Akira Kurosawa
276,Carlito's Way,1993,0,144,0,"Crime, Drama",Brian De Palma
277,Baraka,1992,0,96,0,Documentary,Ron Fricke
278,Samsara,2011,1,102,0,"Documentary, Music",Ron Fricke
279,Mystic River,2003,0,138,0,"Crime, Drama, Mystery",Clint Eastwood
280,A Perfect World,1993,0,138,0,"Crime, Drama, Thriller",Clint Eastwood
281,The Life of David Gale,2003,0,130,0,"Crime, Drama, Thriller",Alan Parker
282,Dlug,1999,0,106,0,"Drama, Crime, Thriller",Krzysztof Krauze
283,Komornik,2005,0,100,0,Drama,Feliks Falk
284,A Bronx Tale,1993,0,121,0,"Crime, Drama",Robert De Niro
285,Empire of the Sun,1987,0,153,0,"Drama, History, War",Steven Spielberg
286,The Untouchables,1987,0,119,0,"Crime, Drama, Thriller",Brian De Palma
287,Jagten,2012,0,115,0,Drama,Thomas Vinterberg
288,Primal Fear,1996,0,129,0,"Crime, Drama, Mystery",Gregory Hoblit
289,Gone with the Wind,1939,0,238,0,"Drama, History, Romance","Victor Fleming, George Cukor, Sam Wood"
290,The Usual Suspects,1995,0,106,0,"Crime, Drama, Mystery",Bryan Singer
291,Pirates of the Caribbean: The Course of the Black Pearl,2003,0,143,0,"Action, Adventure, Fantasy",Gore Verbinski
292,Pirates of the Caribbean: Dead Man's Chest,2006,1,151,0,"Action, Adventure, Fantasy",Gore Verbinski
